Ensembl_ID	mean_alive	mean_dead	log2_fc	p_value	p_adj
ENSG00000204444.11	1.2655263804250096	1.2448234025563207	0.02070297786868891	0.52181548096933	0.8381748944252768
ENSG00000204463.13	2.7498339183173788	2.7350314336334156	0.014802484683963169	0.22371716928557148	0.6717208834731359
ENSG00000204469.13	2.787505207946803	2.7817325793296974	0.005772628617105369	0.690174720120801	0.9085768416425591
ENSG00000204472.13	2.2249720386476977	2.1783126491812044	0.046659389466493284	0.21537613537849506	0.6660047469912647
ENSG00000204482.11	1.6308620533239342	1.5540285178498008	0.07683353547413341	0.08642882757977342	0.5174597240447533
ENSG00000204498.11	2.2106120129256954	2.181877640124391	0.02873437280130453	0.06862068178098515	0.49085988795608626
ENSG00000204514.10	1.2077179579948756	1.2104777651386216	-0.002759807143746018	0.9212384771319824	0.9839360492352717
ENSG00000204516.10	1.5805455459212074	1.4952048765153363	0.08534066940587115	0.08390327153866917	0.5106700442499706
ENSG00000204519.11	1.3787513535187892	1.3269260319036713	0.05182532161511788	0.06123743666419843	0.47904727475989606
ENSG00000204520.14	1.6821193645737076	1.6750805970643878	0.007038767509319754	0.8221707680535911	0.9534360303960976
ENSG00000204524.7	1.0065911071871703	1.0065575467317829	3.3560455387382504e-5	0.9988754174062506	0.9995327973380717
ENSG00000204525.17	3.2200467138108753	3.185027975482831	0.035018738328044474	0.05484683997834626	0.46704847768835434
ENSG00000204528.3	1.3222873471099836	1.2873174649615908	0.034969882148392806	0.6427455653730831	0.8913761518203499
ENSG00000204531.20	1.2718525443681439	1.2488442377081226	0.023008306660021294	0.677289513449727	0.9046666093435575
ENSG00000204536.14	1.903092226712392	1.8616059090269763	0.04148631768541566	0.10023418017943189	0.543068807417843
ENSG00000204540.11	0.9133592298831276	0.909997056549152	0.0033621733339755933	0.9316763306627438	0.9869713399975676
ENSG00000204542.3	0.8558249978399651	0.9203882132305116	-0.06456321539054644	0.4273878238533352	0.7964383180895998
ENSG00000204560.10	2.2069451224858176	2.1923848542583024	0.014560268227515216	0.4023285322328949	0.7830306613721602
ENSG00000204564.12	2.2353655595470783	2.218537678242609	0.016827881304469106	0.3116740788406482	0.7336528327449263
ENSG00000204568.12	2.729715319545645	2.705042442203481	0.024672877342164057	0.05136183103013386	0.45962680789525756
ENSG00000204569.10	2.316512342984336	2.2990629142682115	0.017449428716124427	0.208352464912756	0.6607629582817847
ENSG00000204574.14	2.4715322810221685	2.45810048052062	0.013431800501548352	0.4004152949761235	0.781958925634628
ENSG00000204576.12	1.9907319405629076	1.9578510814226278	0.03288085914027983	0.11471481304990795	0.5669371986533334
ENSG00000204580.13	2.7351181939824176	2.7232852246655623	0.01183296931685529	0.4392487866312158	0.8020877345058491
ENSG00000204590.12	2.0857673029271093	2.0765255621010006	0.009241740826108735	0.6136428286090906	0.880982734955891
ENSG00000204592.9	3.04863661629568	3.0171658088832873	0.03147080741239261	0.03410911113594091	0.4051029247915398
ENSG00000204599.14	1.3198728870121423	1.2935600515537211	0.026312835458421224	0.21286290307429084	0.6644983723975161
ENSG00000204604.12	1.610657506816483	1.588725944415563	0.02193156240091998	0.40153157895364444	0.7820171362287446
ENSG00000204611.7	1.4113606185659715	1.3845628310990907	0.026797787466880774	0.2065448644050455	0.6590098646112492
ENSG00000204618.8	1.5243881651321423	1.5236525403422427	7.35624789899525e-4	0.9875678975273483	0.9977036441604447
ENSG00000204619.8	2.703066525596782	2.691597652470536	0.011468873126245782	0.26506281549536853	0.7043513282297178
ENSG00000204628.12	3.1996281874882855	3.211224839068358	-0.011596651580072503	0.29864463258242213	0.7258494614798443
ENSG00000204634.13	1.8655927245665551	1.8447171474106254	0.020875577155929692	0.4250161389325452	0.7948419390842857
ENSG00000204642.14	1.9009944945098491	1.7911755040589865	0.10981899045086263	0.01037567230630605	0.3269586536645001
ENSG00000204652.6	1.3408138132443739	1.343305110498835	-0.0024912972544610668	0.949662015159233	0.9886865327763824
ENSG00000204673.11	2.330410039948353	2.3387565391544176	-0.00834649920606445	0.5265831236123109	0.840253528540947
ENSG00000204681.11	1.318640548409428	1.3420884188255706	-0.023447870416142713	0.6528454179581644	0.8952819607044082
ENSG00000204682.8	1.4587254140886652	1.5166891972165812	-0.05796378312791606	0.3417349392718727	0.7474889944407982
ENSG00000204685.7	1.178223934446048	1.1443893129840175	0.03383462146203042	0.12439390675769815	0.581591520625465
ENSG00000204713.11	2.3047429262860324	2.25385203134506	0.05089089494097232	0.0015714234309373212	0.24181132078021364
ENSG00000204789.4	1.2477282233684936	1.1989276541872576	0.0488005691812361	0.2267753349039818	0.6753172941177262
ENSG00000204792.2	0.8869801784331032	0.8621108577180369	0.024869320715066312	0.7063555005452041	0.9143160666744495
ENSG00000204839.9	2.1918865465625226	2.1566203164641293	0.03526623009839325	0.3689934715620553	0.7629344229329559
ENSG00000204842.18	1.7209223053814697	1.7196206719841656	0.0013016333973041583	0.9507523944367797	0.9892053946226091
ENSG00000204843.12	2.1641824179681732	2.1673278706162598	-0.003145452648086522	0.8711337972893295	0.9711440960903813
ENSG00000204852.16	1.6529306604682525	1.6339106943125608	0.019019966155691792	0.49414822441559636	0.8243761976256891
ENSG00000204856.12	1.5040675047650718	1.499066736612235	0.0050007681528367876	0.864716084067652	0.9694633323038175
ENSG00000204859.13	1.7976903338439678	1.7758501679832177	0.021840165860750105	0.2267342455382827	0.6753172941177262
ENSG00000204899.6	2.2240173094998106	2.221869575255621	0.0021477342441897918	0.9117834652759921	0.9823521329031772
ENSG00000204922.5	1.7329915480386913	1.7130008979206266	0.019990650118064668	0.37638375590433903	0.7664650219127916
ENSG00000204946.10	1.6208016478148457	1.5756174399728817	0.045184207841963975	0.08688225778863327	0.5187651301196462
ENSG00000204947.9	1.321991069180329	1.3103787357042593	0.011612333476069603	0.7350847047013955	0.9230299885145833
ENSG00000204950.4	1.0331880092281454	1.0606428609986331	-0.027454851770487787	0.6516245926725304	0.8952819607044082
ENSG00000204954.10	1.5038092703815522	1.4799018271515554	0.023907443229996828	0.31629231520492	0.7368715244127714
ENSG00000204959.4	1.0410507553469415	1.0110364010343285	0.030014354312613012	0.3793443528842083	0.767399658974122
ENSG00000204977.10	1.494716801750438	1.5191019035187792	-0.02438510176834119	0.19411055738750596	0.6497409069117156
ENSG00000204983.14	1.551317794637404	1.5218535807427642	0.029464213894639713	0.6594152285525804	0.8979797741688378
ENSG00000204991.11	1.1024811692418572	1.098875890059477	0.0036052791823801833	0.9311310919664781	0.9869713399975676
ENSG00000205002.4	1.102497694875035	1.1763645015224296	-0.07386680664739464	0.16426969496480165	0.6238362759877215
ENSG00000205060.11	1.4246988751545673	1.4021001185790603	0.02259875657550703	0.30724315918136863	0.7301703830985864
ENSG00000205078.6	1.2060698042221731	1.2301756913304736	-0.024105887108300417	0.569635280172795	0.8611149569756424
ENSG00000205084.11	1.6256231240075796	1.5978533390644576	0.02776978494312199	0.32777021452806043	0.7431522945345534
ENSG00000205105.6	1.1118243831280235	1.128806047454457	-0.016981664326433554	0.6325309510745413	0.8873131464338103
ENSG00000205116.3	1.247972394867679	1.2797708201790212	-0.03179842531134214	0.6004849628663684	0.8745952283229607
ENSG00000205129.8	1.1998030023825026	1.221451864545155	-0.021648862162652494	0.5835891177080992	0.8671997076742403
ENSG00000205133.12	1.8203604752574738	1.8286331050037268	-0.00827262974625298	0.7220740198913114	0.9201135999147114
ENSG00000205138.4	2.33785168403747	2.340779470543077	-0.0029277865056069885	0.8679732184928555	0.9706436962756337
ENSG00000205155.8	2.5646705141738857	2.587543478029834	-0.02287296385594839	0.2209796767992455	0.6699152988202475
ENSG00000205189.12	1.9420311053611041	1.9187760798126436	0.023255025548460484	0.34558482442613536	0.7515134039442422
